id,no,tanggal_aduan,judul_klaim,aduanpantauan,jenis_materi,topik,sub_topik,lokasi,sub_lokasi,jenis_dismis_informasi,sumber_hoaks,kanal_aduan,media_rujukan
52,52,17/01/2022,KISAH KEHIDUPAN UPIN-IPIN DI DUNIA NYATA,PANTAUAN,VIDEO,ENTERTAIMENT,ENTERTAIMENT,NASIONAL,NASIONAL,FABRICATED CONTENT,TWITTER,FACEBOOK,"TWITTERLESCOPAQUE, INSTAGRAMUPINIPINOFFICIAL"
53,53,18/01/2022,YANG TIDAK PUNYA KARTU BPJS KESEHATAN WAJIB MEMBAYAR VAKSIN BOOSTER,PANTAUAN,GAMBAR,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,FALSE CONTEXT,FACEBOOK,FACEBOOK,MEDCOM
54,54,18/01/2022,PESAN SUARA AKAN ADA GEMPA SUSULAN BERPOTENSI TSUNAMI DI PALABUHANRATU SUKABUMI,PANTAUAN,TEXT,BENCANA ALAM,GEMPA BUMI,JAWA BARAT,KABUPATEN SUKABUMI,FABRICATED CONTENT,WHATSAPP,WHATSAPP,"Badan Meteorologi, Klimatologi, Dan Geofisika Stasiun Geofisika Bandung"
55,55,18/01/2022,VIDEO PELAKU PENCULIKAN ANAK BABAK BELUR DIAMUK MASSA DI BOGOR,PANTAUAN,VIDEO,KRIMINALITAS,PENCULIKAN,JAWA BARAT,KOTA BOGOR,FALSE CONTEXT,WHATSAPP,WHATSAPP,"MEDCOM, KOMINFO, TRIBUNNEWS"
56,56,18/01/2022,REKRUTMEN KARYAWAN PT BRI (PERSERO TBK),PANTAUAN,TEXT,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,FABRICATED CONTENT,EMAIL,EMAIL,BRI
57,57,18/01/2022,HARI INI GURU YANG HAMILI SANTRI AKAN DITEMBAK DALAM JARAK 5 METER TEPAT DI BAGIAN JANTUNG,PANTAUAN,TEXT,KRIMINALITAS,PEMERKOSAAN,JAWA BARAT,KOTA BANDUNG,FALSE CONNECTION,WEBSITE,FACEBOOK,"KOMINFO, TURNBACKHOAX"
58,58,18/01/2022,VIDEO WARGA TAK SADAR SAAT TSUNAMI DATANG,PANTAUAN,VIDEO,BENCANA ALAM,TSUNAMI,NASIONAL,NASIONAL,FALSE CONTEXT,FACEBOOK,FACEBOOK,"MEDCOM, TEMPO, LICETSTUDIOS"
59,59,18/01/2022,VIDEO PERISTIWA GEMPA DI BANTEN PADA 14 JANUARI 2022,PANTAUAN,VIDEO,BENCANA ALAM,GEMPA BUMI,NASIONAL,NASIONAL,FALSE CONTEXT,FACEBOOK,FACEBOOK,"LIPUTAN6, JAREDSURYAPERMANA"
60,60,19/01/2022,NOMOR ANDA MENDAPATKAN HADIAH CEK 75JUTA DARI  TIK TOK,ADUAN,TEXT,KRIMINALITAS,PENIPUAN,NASIONAL,NASIONAL,IMPOSTER CONTENT,WHATSAPP,WHATSAPP,"GADGETTREN, KOMINFO"
61,61,20/01/2022,PEMINDAHAN IBU KOTA KE KALTIM ADALAH PROGRAM PKI TAHUN 1955,ADUAN,VIDEO,HUKUM DAN REGULASI,HUKUM DAN REGULASI,NASIONAL,NASIONAL,FALSE CONTEXT,WHATSAPP,WHATSAPP,Medcom.id Kominfo
62,62,20/01/2022,REKRUTMEN  DISKOMINFO JABAR MEMINTA BIAYA,ADUAN,TEXT,KRIMINALITAS,PENIPUAN,JAWA BARAT,JAWA BARAT,IMPOSTER CONTENT,WHATSAPP,INSTAGRAM,0
63,63,20/01/2022,REKRUTMEN  DISKOMINFO JABAR MEMINTA BIAYA,ADUAN,TEXT,KRIMINALITAS,PENIPUAN,JAWA BARAT,JAWA BARAT,IMPOSTER CONTENT,WHATSAPP,INSTAGRAM,0
64,64,20/01/2022,VIDEO ANAK DISUNTIKKAN VAKSIN KOSONG,ADUAN,VIDEO,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,LAINNYA,INSTAGRAM,DETIK
65,65,20/01/2022,VIDEO ANAK DISUNTIKKAN VAKSIN KOSONG,ADUAN,VIDEO,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,LAINNYA,INSTAGRAM,0
66,66,21/01/2022,VIDEO ANAK DISUNTIKKAN VAKSIN KOSONG,ADUAN,VIDEO,KESEHATAN,CORONA - VAKSIN,NASIONAL,NASIONAL,BENAR,WHATSAPP,WHATSAPP,0
